time,party,strategy,votes,x,y
48,P1,random,233,0.31798766633384457,0.7338070280521207
49,P1,random,234,0.3184221837379193,0.7349576095755137
50,P1,random,234,0.3184875798980165,0.7375083975693888
51,P1,random,234,0.3174374940519131,0.7357859164443427
52,P1,random,237,0.3217696955596457,0.7363774637716406
53,P1,random,238,0.3179801566252599,0.7365057330107557
54,P1,random,239,0.32225551159480686,0.7342933102219482
55,P1,random,240,0.32268186709603724,0.7340390728933456
56,P1,random,239,0.322736835498025,0.7298551976490899
57,P1,random,242,0.3221015114647201,0.7285361532138733
58,P1,random,243,0.3189744730347095,0.7294148094195197
59,P1,random,243,0.3207047402148969,0.7274007996842676
60,P1,random,242,0.32483965373799417,0.7309551188041347
61,P1,random,246,0.3290409641918627,0.7306252735334327
62,P1,random,249,0.32824920642225935,0.7276561204195451
63,P1,random,253,0.32784979617991444,0.7265720900468974
64,P1,random,254,0.328380886843274,0.7252575339678914
65,P1,random,257,0.3240636327918008,0.7242527361479492
66,P1,random,254,0.3199539142476193,0.719860069349997
67,P1,random,255,0.3153841097818694,0.7237277244349665
68,P1,random,257,0.31595164890287264,0.7264376529651708
69,P1,random,254,0.3131117307504908,0.725848019640981
70,P1,random,258,0.3096895201429078,0.7305324889295669
71,P1,random,250,0.30837850785832793,0.7308999116863066
72,P1,random,250,0.30931505203246495,0.7314803062267851
73,P1,random,250,0.311413640474901,0.7310857152385949
74,P1,random,252,0.31210671739355217,0.7263626873974616
75,P1,random,252,0.30803997532388083,0.7293189195598672
76,P1,random,248,0.3119861062902322,0.7326068612152367
77,P1,random,247,0.31058908219272235,0.7347842816803182
78,P1,random,247,0.3094362238188901,0.7354845209633325
79,P1,random,244,0.30539931936705994,0.735268108050846
80,P1,random,241,0.30702069696629436,0.7316735442804795
81,P1,random,239,0.3033646441433292,0.7335980626251222
82,P1,random,238,0.3024425075368081,0.7382292554869944
83,P1,random,233,0.29804656664405044,0.7379105954804438
84,P1,random,234,0.2935984826882931,0.733640817680743
85,P1,random,233,0.2951898281157363,0.7334659424325158
86,P1,random,233,0.29944863077855605,0.7372153273373154
87,P1,random,234,0.3040462710182261,0.740973184831873
88,P1,random,235,0.30266374732086576,0.7408967270518485
89,P1,random,234,0.3009060378467999,0.7423892420300819
90,P1,random,234,0.3044140115064038,0.7471844122733422
91,P1,random,236,0.30715671981932374,0.7492224516458343
92,P1,random,233,0.3098452613845156,0.7516443899944844
93,P1,random,235,0.30920353756913554,0.748834222399617
94,P1,random,234,0.31122421763718194,0.7508977160536464
95,P1,random,235,0.3117458663349634,0.7495957242953946
96,P1,random,234,0.3101506138833852,0.7504550385149754
97,P1,random,231,0.30637980028024786,0.7490233263260003
98,P1,random,230,0.30541120478454115,0.7507123802970657
99,P1,random,227,0.3052371407558722,0.7555351848221832
100,P1,random,227,0.3061372561841767,0.751124366764356
101,P1,random,226,0.304487510129107,0.7545878530501163
102,P1,random,223,0.30798958272326926,0.7569462069934162
103,P1,random,219,0.31283105011653184,0.7551540958321367
104,P1,random,220,0.313569023696297,0.7557986918783103
105,P1,random,221,0.3142839138381689,0.7603147920538974
106,P1,random,220,0.3161532303368887,0.7572777515490026
107,P1,random,222,0.3112962405091909,0.7570940740618488
108,P1,random,222,0.3101455187069986,0.7558199215143965
109,P1,random,224,0.3085736134469482,0.7558823294543898
110,P1,random,223,0.31252713617638733,0.7586822639336664
111,P1,random,224,0.3119610945036687,0.7585443771796494
112,P1,random,224,0.3093486999031037,0.7576699271451579
113,P1,random,224,0.313890246262355,0.7594914194861029
114,P1,random,227,0.31404739593712444,0.7577002839216673
115,P1,random,225,0.31854206233720295,0.7556341118149724
116,P1,random,224,0.3183921985812935,0.7588435275489412
117,P1,random,222,0.31704086307330004,0.7570530129837397
118,P1,random,222,0.3205157621158296,0.754121092193578
119,P1,random,222,0.32319731006990404,0.7577425212773464
120,P1,random,224,0.32047142689657937,0.760176198621049
121,P1,random,222,0.3196180961846822,0.7634165025524736
122,P1,random,223,0.3152481998012685,0.7654217354803066
123,P1,random,222,0.31850435608421335,0.7627754946881866
124,P1,random,221,0.31683201855434134,0.7655002379391241
125,P1,random,221,0.32066502117277673,0.768739964967077
126,P1,random,222,0.3228874537008523,0.7665046773161804
127,P1,random,223,0.3216349634437984,0.7631871722894502
128,P1,random,221,0.31851630577553197,0.7648898938241564
129,P1,random,221,0.3137983419633743,0.7696487272532989
130,P1,random,217,0.3092417829630933,0.7734430365755924
131,P1,random,216,0.30577077738174646,0.7694361185672477
132,P1,random,216,0.30795105427577085,0.7651012923305761
133,P1,random,215,0.31270466057071633,0.7634978800477328
134,P1,random,219,0.3127546623581811,0.7595721801370918
135,P1,random,220,0.31389540968640384,0.7582781677906338
136,P1,random,219,0.3144376863981858,0.7578035074915425
137,P1,random,219,0.31923367915871875,0.7533086018581981
138,P1,random,224,0.3219503370611959,0.7523839431861674
139,P1,random,223,0.32322925357084115,0.7481593269819242
140,P1,random,227,0.3246633665229748,0.749921776678274
141,P1,random,225,0.32802873807254695,0.7540271675774368
142,P1,random,224,0.32315980329835664,0.7557933517961943
143,P1,random,223,0.32276737559218843,0.7537108829547102
144,P1,random,223,0.32719615392063617,0.7493176674127516
145,P1,random,226,0.3316318529048736,0.7513109967475985
146,P1,random,228,0.3295029279625573,0.7550687034010205
